Symbol,Count,Frequency
ве,884,0.005701644060034958
че,631,0.004069838689911831
ра,1076,0.006940010190721284
на,1847,0.01191282418425856
ху,69,0.0004450378282153983
то,2369,0.015279632102062008
ре,911,0.0058757892971627226
бл,152,0.0009803731867933413
из,420,0.0027089259108763375
ди,501,0.0032313616222596313
ка,1694,0.010926001173867895
нь,230,0.001483459427384661
ки,742,0.004785769109214863
по,1641,0.01058416052320969
ст,1659,0.010700257347961534
ии,216,0.0013931618970221165
зд,145,0.000935224421612069
ан,1108,0.007146404545835671
ны,479,0.0030894655031184896
еп,563,0.003631250685293757
ас,1016,0.006553020774881807
ич,370,0.002386434731010107
ни,1043,0.006727166012009572
ко,1695,0.01093245099746522
мр,30,0.0001934947079197384
уд,531,0.0034248563301793695
ым,258,0.0016640544881097502
па,415,0.0026766767928897146
мч,55,0.00035474029785285375
ть,1073,0.00692066071992931
пе,437,0.002818572912030856
рв,48,0.00030959153267158144
ая,457,0.0029475693839773483
пр,1030,0.006643318305244352
ед,713,0.0045987242248924495
ис,836,0.0053920525273633765
ло,1425,0.009190998626187575
ви,709,0.004572924930503151
еэ,23,0.0001483459427384661
чт,611,0.0039408422179653384
оз,425,0.0027411750288629604
ев,654,0.004218184632650297
ид,460,0.002966918854769322
ал,1547,0.009977877105061176
ьв,185,0.0011932173655050534
еч,309,0.0019929954915733055
ер,1114,0.007185103487419619
ах,207,0.0013351134846461949
ут,396,0.002554130144540547
ор,1228,0.007920383377514625
еб,469,0.003024967267145244
ли,1136,0.007326999606560761
ик,625,0.004031139748327884
ьк,475,0.003063666208729191
эт,262,0.0016898537824990487
ав,793,0.005114710112678418
аи,240,0.0015479576633579072
шв,5,3.2249117986623065e-05
ыр,53,0.0003418406506582045
ну,584,0.0037666969808375743
лв,106,0.000683681301316409
св,443,0.0028572718536148036
ет,1282,0.008268673851770153
йт,89,0.0005740343001618905
оп,632,0.004076288513509155
кс,131,0.0008449268912495243
ла,1009,0.006507872009700534
ва,1099,0.00708835613345975
бо,462,0.0029798185019639712
гу,155,0.000999722657585315
ещ,185,0.0011932173655050534
ем,812,0.005237256761027586
оо,206,0.0013286636610488703
др,194,0.001251265777880975
иг,183,0.0011803177183104042
ус,347,0.0022380887882716407
ей,276,0.0017801513128615932
рь,166,0.0010706707171558858
яи,128,0.0008255774204575505
тр,419,0.002702476087279013
яп,170,0.0010964700115451843
ья,118,0.0007610791844843044
бу,280,0.0018059506072508917
ма,511,0.0032958598582328775
он,1139,0.007346349077352735
ар,598,0.0038569945112001186
од,1137,0.007333449430158085
ув,257,0.0016576046645124256
ся,839,0.005411401998155351
го,1751,0.011293641118915398
зв,138,0.0008900756564307966
ия,108,0.0006965809485110582
бр,244,0.0015737569577472057
ьц,34,0.00021929400230903684
ыв,295,0.0019026979612107608
рн,141,0.0009094251272227705
ил,920,0.005933837709538644
