Symbol,Count,Frequency
ве,1754,0.004695740636628918
еч,403,0.0010788959387465532
че,1228,0.003287553877867909
ер,2130,0.005702353224640591
ра,2156,0.005771959414237143
а ,6775,0.018137766712178406
 н,6156,0.01648060396755281
на,3733,0.009993842529381843
 х,862,0.0023077129012395257
ху,109,0.00029181056407785185
ут,594,0.0015902337161673762
то,4530,0.01212753995662999
ор,2254,0.006034321205793377
ре,1857,0.004971488233876797
е ,6666,0.017845956148100556
 б,2613,0.006995422054453458
бл,300,0.0008031483414986748
ли,2159,0.005779990897652129
из,593,0.0015875565550290472
з ,557,0.0014911787540492062
 д,3046,0.008154632827349878
ди,899,0.0024067678633576954
ик,739,0.001978422081225069
ка,3376,0.00903809600299842
ан,1414,0.0037855058495970873
нь,489,0.0013091317966428399
ьк,620,0.001659839905763928
ки,1335,0.003574010119669103
ип,82,0.00021952721334297112
по,3290,0.008807860145102134
ов,2461,0.006588493561427463
ес,1497,0.004007710224078387
ст,3270,0.008754316922335555
ти,1001,0.0026798382994672448
и ,7027,0.018812411319037294
 и,3728,0.009980456723690198
зд,264,0.0007067705405188338
да,1676,0.004486922067839263
нн,646,0.0017294460953604796
ны,954,0.002554011725965786
ые,421,0.0011270848392364737
 п,5987,0.01602816373517522
па,825,0.002208657939121356
ас,1281,0.0034294434181993414
си,501,0.001341257730302787
ич,547,0.001464407142665917
чн,184,0.0004925976494525205
ни,2072,0.005547077878617514
ко,3323,0.008896206462666988
ом,1634,0.004374481300029449
м ,2539,0.006797312130217118
 р,1409,0.0037721200439054425
ру,1087,0.002910074157363532
уд,885,0.0023692876074210907
ды,268,0.0007174791850721495
ым,400,0.0010708644553315664
мч,17,4.551173935159157e-05
ча,692,0.00185259550772361
ть,2195,0.005876368698631971
ь ,4102,0.010981714989425214
пе,915,0.002449602441570958
рв,81,0.0002168500522046422
ва,2223,0.00595132921050518
ая,836,0.002238106711642974
яп,15,4.015741707493374e-05
пр,2079,0.005565818006585816
ед,1049,0.002808342034107033
ис,953,0.002551334564827457
сл,924,0.0024736968918159185
ло,2623,0.007022193665836746
ви,1315,0.0035204668969025248
ие,505,0.0013519663748561026
еэ,3,8.031483414986748e-06
эт,541,0.0014483441758359435
о ,7756,0.020764061788879074
 ч,2245,0.006010226755548417
чт,1235,0.0033062940058362113
 з,1974,0.00528471608706128
за,2253,0.006031644044655048
не,3837,0.01027226728776805
ев,728,0.001948973308703451
ид,631,0.001689288678285546
ал,2910,0.007790538912537145
ль,1073,0.0028725939014269267
 в,5547,0.014850212834310497
 э,605,0.0016196824886889941
 ш,439,0.0011752737397263942
шв,11,2.9448772521618076e-05
вы,953,0.002551334564827457
ыр,91,0.00024362166358793137
рн,295,0.0007897625358070302
ну,1099,0.0029422000910234785
ул,629,0.0016839343560088882
л ,2354,0.006302037319626268
в ,1924,0.005150858030144834
 с,6162,0.01649666693438278
св,813,0.002176532005461409
ет,2181,0.005838888442695366
т ,2617,0.007006130699006774
 к,4136,0.011072738468128396
ак,2212,0.005921880437983563
ой,991,0.0026530666880839556
йт,99,0.00026503895269456266
к ,2117,0.005667550129842315
ла,2020,0.00540786549942441
ав,1031,0.0027601531336171126
бо,833,0.002230075228227987
ог,1852,0.004958102428185152
гу,311,0.0008325971140202929
у ,2609,0.006984713409900142
 е,1422,0.0038069231387037185
ещ,331,0.0008861403367868712
ще,433,0.0011592107728964206
 м,2165,0.005796053864482103
ма,985,0.002637003721253982
 о,3225,0.008633844671110754
об,1108,0.002966294541268439
од,1888,0.0050544802291649935
др,409,0.0010949589055765266
 г,2000,0.005354322276657832
ус,461,0.0012341712847696302
се,1388,0.0037158996600005355
ей,563,0.0015072417208791798
й ,2418,0.006473375632479319
рь,308,0.0008245656306053061
ья,217,0.0005809439670173748
я ,3884,0.01039809386126951
зв,245,0.0006559044788905844
ел,1886,0.005049125906888336
 т,3307,0.008853371884453726
тр,800,0.002141728910663133
ря,432,0.0011565336117580916
пь,37,9.905496211816989e-05
бу,597,0.0015982651995823628
ум,574,0.0015366904934007977
аг,192,0.0005140149385591519
ар,1079,0.0028886568682569003
ро,2787,0.007461248092522689
ду,858,0.00229700425668621
вс,1068,0.0028592080957352824
ся,1667,0.004462827617594303
як,153,0.00040960565416432417
го,3385,0.009062190453243382
ия,154,0.00041228281530265306
сб,26,6.960618959655182e-05
бр,483,0.0012930688298128665
ьц,42,0.00011244076780981447
цы,162,0.0004337001044092844
ы ,1696,0.004540465290605842
ил,1678,0.004492276390115921
ах,347,0.0009289749150001339
х ,1048,0.002805664872968704
де,1700,0.004551173935159157
 ж,810,0.002168500522046422
же,1154,0.003089443953631569
ох,197,0.0005274007442507964
хо,820,0.002195272133429711
от,2284,0.006114636039943245
та,2141,0.0057318019971622095
ащ,62,0.0001659839905763928
щи,172,0.00046047171579257355
ит,1320,0.003533852702594169
ьс,331,0.0008861403367868712
ле,1428,0.003822986105533692
д ,631,0.001689288678285546
уг,439,0.0011752737397263942
ги,204,0.0005461408722190989
им,819,0.0021925949722913824
ми,1091,0.0029207828019168474
во,2400,0.006425186731989398
ат,1776,0.004754638181672155
тн,266,0.0007121248627954917
но,2892,0.0077423500120472255
аз,1234,0.0033036168446978825
ос,1790,0.00479211843760876
сь,1175,0.0031456643375364765
ол,2450,0.006559044788905844
ри,1852,0.004958102428185152
ае,452,0.00121007683452467
еш,452,0.00121007683452467
шь,286,0.00076566808556207
ск,1178,0.0031536958209514633
бы,1230,0.0032929082001445665
ое,680,0.0018204695740636628
ее,509,0.0013626750194094183
лы,317,0.0008486600808502664
ыш,252,0.0006746446068588869
ша,449,0.0012020453511096833
мо,1173,0.0031403100152598185
чи,645,0.0017267689342221509
ме,1363,0.0036489706315423124
яц,50,0.0001338580569164458
ц ,347,0.0009289749150001339
 я,594,0.0015902337161673762
рю,72,0.00019275560195968196
ю ,1450,0.0038818836505769283
аш,385,0.0010307070382566327
ше,769,0.0020587369153749363
ем,1367,0.003659679276095628
му,737,0.0019730677589484113
ту,697,0.0018659813134152545
ян,321,0.000859368725403582
ин,1141,0.003054640858833293
ыс,171,0.00045779455465424465
су,210,0.0005622038390490724
ун,146,0.00039086552619602177
с ,1050,0.0028110191952453616
ег,1169,0.003129601370706503
лу,544,0.0014563756592509303
ьш,116,0.00031055069204615426
шо,101,0.0002703932749712205
  ,1437,0.0038470805557786524
ба,522,0.0013974781142076943
тю,12,3.212593365994699e-05
юш,11,2.9448772521618076e-05
шк,376,0.0010066125880116724
