Symbol,Count,Frequency
в,13963,0.03738110089925602
е,25799,0.0690678953018625
ч,5033,0.013474115936829874
р,12868,0.03444961730083982
а,26088,0.06984159279952667
 ,63445,0.1698520337000142
н,18167,0.04863585619399729
х,3023,0.008093036454805625
у,10426,0.027912007303276032
т,18540,0.0496344346252386
о,33918,0.09080370839368085
б,5697,0.015251746173677687
л,14792,0.039600461541344625
и,19656,0.05262213845704908
з,5450,0.01459048914280207
д,10133,0.027127601189727225
к,13029,0.034880639090195995
ь,6305,0.01687945578814074
п,8555,0.022903052223242515
с,15748,0.04215982073777009
ы,5817,0.015573004650216448
м,9243,0.02474493415539808
я,6642,0.01778165667642043
э,616,0.0016491268462323074
ш,3461,0.009265629894172104
й,2978,0.00797256452610359
г,6250,0.016732212319727144
щ,770,0.002061408557790384
ц,1627,0.00435572951107137
ж,2988,0.007999336065815153
ю,2226,0.0059593447397940195
ъ,55,0.00014724346841359887
ф,214,0.0005729109498274574
ё,9,2.4094385740407088e-05
