Symbol,Count,Frequency
в,13963,0.04502944344472179
е,25799,0.08319949949368885
ч,5033,0.01623098108266739
р,12868,0.04149816502518656
а,26088,0.08413149900350225
н,18167,0.05858697264629813
х,3023,0.009748908367356153
у,10426,0.033622930412853205
т,18540,0.05978986474719916
о,33918,0.10938255838702811
б,5697,0.01837232251697916
л,14792,0.04770289532581284
и,19656,0.0633888663145063
з,5450,0.01757576930270957
д,10133,0.032678031255845154
к,13029,0.04201737582477119
ь,6305,0.020333068890565843
п,8555,0.02758912043755603
с,15748,0.05078591100533401
ы,5817,0.01875931193281864
м,9243,0.0298078597550357
я,6642,0.02141986416671504
э,616,0.0019865456679759807
ш,3461,0.011161419735170243
й,2978,0.009603787336416349
г,6250,0.020155698741639416
щ,770,0.002483182084969976
ц,1627,0.005246931496423573
ж,2988,0.009636036454402972
ю,2226,0.007178653663822294
ъ,55,0.00017737014892642687
ф,214,0.0006901311249137336
ё,9,2.902420618796076e-05
