Біграма,Частота без перетину
то,0.02219220779220779
не,0.0153291280148423
на,0.015023376623376623
но,0.014429684601113173
ст,0.014263450834879406
по,0.013904267161410019
ко,0.01287717996289425
ов,0.011775881261595548
ни,0.01138404452690167
го,0.011315769944341372
ра,0.011182189239332096
ро,0.010736920222634509
ал,0.010446011131725417
ка,0.010342115027829314
пр,0.010095732838589982
ен,0.009876066790352505
он,0.009867161410018553
от,0.009801855287569574
ть,0.009766233766233767
во,0.00941595547309833
те,0.008914285714285715
ос,0.008745083487940631
та,0.008688682745825602
ер,0.008661966604823748
ол,0.008656029684601113
ет,0.008575881261595548
ва,0.008516512059369203
ел,0.008264192949907236
ла,0.008207792207792207
ак,0.008175139146567718
ли,0.008100927643784787
ло,0.008071243042671613
ри,0.007765491651205937
ре,0.0077001855287569575
да,0.007655658627087198
ом,0.007477551020408164
ве,0.007379591836734694
ор,0.007174768089053803
ил,0.007142115027829314
од,0.007067903525046383
ль,0.00690760667903525
ас,0.006892764378478664
се,0.006705751391465677
за,0.0066671614100185525
же,0.0065959183673469386
ес,0.006569202226345084
ат,0.00655139146567718
чт,0.006438589981447125
ит,0.006417810760667903
ем,0.006296103896103896
де,0.006260482374768089
ог,0.006218923933209648
ме,0.00584786641929499
че,0.00579443413729128
до,0.0056371057513914654
мо,0.005583673469387755
ле,0.005571799628942486
бы,0.005503525046382189
вс,0.005316512059369202
ся,0.005274953617810761
ск,0.005263079777365492
об,0.00525417439703154
ам,0.005055287569573284
аз,0.005040445269016698
ег,0.004987012987012987
ти,0.00483265306122449
ви,0.004791094619666049
ан,0.004785157699443414
сь,0.004482374768089054
тр,0.00446456400742115
ин,0.004408163265306122
ма,0.00437847866419295
пе,0.004333951762523191
ми,0.0042448979591836735
ну,0.00422708719851577
ой,0.00414100185528757
ед,0.004120222634508348
со,0.004102411873840446
эт,0.00407569573283859
ав,0.004054916512059369
сл,0.0040430426716141004
вы,0.004004452690166976
ны,0.003841187384044527
ча,0.003784786641929499
им,0.003666048237476809
ру,0.0036452690166975882
ив,0.0036185528756957326
ик,0.0035294990723562154
ди,0.0034760667903525047
нн,0.003431539888682746
хо,0.003395918367346939
оч,0.0033721706864564007
му,0.0032653061224489797
ьн,0.0032089053803339516
ше,0.0032
тв,0.0031703153988868276
ож,0.003107977736549165
ей,0.003099072356215213
ду,0.0030159554730983303
бе,0.0029981447124304266
уд,0.0029803339517625233
ки,0.0029476808905380333
бо,0.0029387755102040815
ая,0.002885343228200371
др,0.0028586270871985156
ыл,0.002846753246753247
ис,0.002825974025974026
дн,0.002775510204081633
ня,0.0027161410018552877
ад,0.002686456400742115
уж,0.00262708719851577
зн,0.0026122448979591837
ар,0.002603339517625232
ие,0.0025736549165120593
ту,0.002532096474953618
ее,0.0025291280148423004
са,0.0025291280148423004
ид,0.002520222634508349
сп,0.002514285714285714
ое,0.0025024118738404453
их,0.0024667903525046383
ят,0.0024489795918367346
аж,0.0024430426716141
ок,0.0024014842300556587
мн,0.002392578849721707
из,0.0023866419294990724
чи,0.0023688311688311687
ут,0.0022589981447124303
вн,0.002253061224489796
лу,0.002244155844155844
ич,0.0022263450834879408
ул,0.0022204081632653063
кр,0.0022204081632653063
лс,0.0022144712430426715
уг,0.00220556586270872
ум,0.0021877551020408163
си,0.0021343228200371056
ты,0.0020987012987012986
св,0.002069016697588126
ши,0.002066048237476809
ще,0.002042300556586271
оп,0.001997773654916512
ьк,0.0019888682745825602
еб,0.0019680890538033395
бу,0.0019532467532467532
нь,0.0019473098330241188
гл,0.0018790352504638218
ля,0.0018730983302411874
жи,0.001867161410018553
ае,0.0018166975881261595
ый,0.001810760667903525
жа,0.0018077922077922078
еч,0.0018048237476808906
ез,0.0017959183673469388
бр,0.001763265306122449
ку,0.0017543599257884971
ек,0.0016890538033395176
тн,0.0016831168831168831
ев,0.0016742115027829313
см,0.001659369202226345
еп,0.0016564007421150278
ия,0.001611873840445269
тс,0.0016059369202226345
дь,0.0015970315398886826
гд,0.0015910946196660482
рь,0.0014901669758812617
ус,0.0014693877551020407
га,0.0014545454545454545
еш,0.0014426716141001856
ах,0.001424860853432282
ош,0.0014159554730983303
ач,0.0013981447124304268
ря,0.0013951762523191095
ещ,0.0013922077922077921
оз,0.0013803339517625233
ий,0.0013743970315398886
аш,0.0013625231910946198
ир,0.0013387755102040816
сн,0.001317996289424861
ай,0.001317996289424861
мы,0.001309090909090909
ьс,0.0013061224489795918
зв,0.0013031539888682746
дв,0.0013031539888682746
аю,0.0012883116883116883
ша,0.0012823747680890537
ял,0.0012556586270871986
ры,0.0012526901669758814
ым,0.0012348794063079776
вд,0.0012319109461966604
чн,0.0012289424860853432
па,0.0012230055658627088
пи,0.0011992578849721706
би,0.001169573283858998
ых,0.0011666048237476809
уч,0.0011636363636363637
еж,0.0011576994434137292
ап,0.0011487940630797774
уб,0.0011487940630797774
це,0.001142857142857143
иц,0.0011369202226345083
пу,0.0011250463821892392
ыв,0.0011191094619666048
ыт,0.0010894248608534322
жд,0.0010805194805194806
лю,0.001074582560296846
жн,0.001074582560296846
зд,0.001074582560296846
су,0.0010478664192949908
ые,0.0010478664192949908
ую,0.0010448979591836734
яс,0.0010419294990723562
бл,0.0010063079777365492
ув,0.0010063079777365492
иб,0.0010003710575139148
ук,0.0009974025974025973
пл,0.0009974025974025973
рн,0.000991465677179963
