Біграма,Частота без перетину
то,0.018093728646268317
ов,0.012866809657581049
на,0.012257041986181763
не,0.012074348948447347
но,0.011844203173639056
ст,0.011618802672538151
по,0.010956836990357604
ко,0.010740927036671476
он,0.010328088224128769
от,0.009668495178801913
ен,0.00958308025206894
ни,0.009416995672310378
ос,0.009395641940627135
го,0.00920108571862425
ал,0.008852308101131273
ра,0.008781128995520462
ро,0.008465568293979197
ка,0.008306601624781718
ет,0.008050356844582796
ть,0.008024257839192165
во,0.007960196644142435
пр,0.007936470275605498
ер,0.007763267785285855
ак,0.007613791663503151
ес,0.00754973046845342
ас,0.007544985194746033
ло,0.007497532457672158
ол,0.007295858325108193
ом,0.007276877230278643
од,0.007186717029838281
те,0.007153500113886569
ел,0.007070457824007289
ли,0.006987415534128009
та,0.006985042897274315
ва,0.006830821501784223
ла,0.006719307569660618
ор,0.006600675726975932
ри,0.00652949662136512
ит,0.006275624478019892
ат,0.006247152835775567
да,0.006175973730164756
ре,0.006073950345455926
ве,0.006071577708602232
ем,0.00603836079265052
ил,0.005990908055576645
ин,0.005879394123453041
ан,0.005803469744134842
об,0.005746526459646193
ль,0.005559088148204388
за,0.005502144863715739
ог,0.005435711031812315
се,0.0052719990889074485
же,0.005260135904638979
ив,0.0052198010781261866
ав,0.005122522967124744
вс,0.0051011692354415005
чт,0.005046598587806545
мо,0.00503710804039177
де,0.00501812694556222
ме,0.0048923771923164525
ле,0.004873396097486903
ам,0.004861532913218434
ис,0.004600542859312125
че,0.004519873206286539
ти,0.004503264748310682
аз,0.004439203553260952
ед,0.004434458279553565
ск,0.004420222458431402
бы,0.00440598663730924
ег,0.00440598663730924
до,0.004306335889454104
ся,0.004282609520917167
оп,0.004199567231037886
ьн,0.004173468225647256
ви,0.003967048819375901
еп,0.003910105534887252
оч,0.0039053602611798647
ми,0.003869770708374459
тр,0.003827063245007972
ик,0.003824690608154278
ев,0.0037440209551286917
сь,0.00367284184951788
им,0.0035518373699795006
ну,0.003504384632905626
ма,0.003497266722344545
пе,0.003399988611343102
со,0.003376262242806165
нн,0.0033715169690987775
ой,0.003359653784830309
эт,0.003343045326854453
вы,0.003250512489560398
сл,0.003224413484169767
ад,0.003224413484169767
тв,0.003155607015412649
ид,0.003129508010022018
ож,0.0031081542783387745
ок,0.003072564725533369
ру,0.0030488383569964314
ны,0.0029752866145319264
ча,0.0029491876091412954
хо,0.00289461696150634
ое,0.0028732632298230963
му,0.0028708905929694024
уд,0.002859027408700934
ап,0.0028139473084807533
ди,0.0027688672082605724
ки,0.0027593766608457974
мн,0.0027356502923088603
ят,0.0027261597448940854
ая,0.0027190418343330043
ар,0.0026668438235517423
еб,0.0025980373547946248
ей,0.0025719383494039938
ее,0.0025482119808670563
бе,0.0025316035228912003
сп,0.0025149950649153443
ше,0.0025031318806468758
из,0.0024960139700857947
ие,0.0024960139700857947
ич,0.0024533065067193077
лс,0.0024248348644749828
ду,0.0024177169539139017
бо,0.0024129716802065142
ип,0.0023797547642548022
уж,0.002363146306278946
дн,0.002363146306278946
ыл,0.0023512831220104777
ьк,0.0023394199377420087
вн,0.0023228114797661527
ут,0.0022919672006681347
ез,0.002261122921570116
зн,0.0022492597373016477
ои,0.002237396553033179
оо,0.002218415458203629
ек,0.002211297547642548
ня,0.0022065522739351607
ум,0.0022041796370814667
аж,0.0021804532685445297
др,0.0021804532685445297
ьс,0.002175707994837142
их,0.0021472363525928176
яс,0.002135373168324349
ян,0.0021211373472021866
са,0.0021116467997874117
ту,0.002109274162933718
еч,0.0021021562523726367
ае,0.0020286045099081316
кр,0.002007250778224888
св,0.0019858970465416446
тн,0.0019336990357603826
яв,0.0019099726672234453
ул,0.0019076000303697518
си,0.001888618935540202
чи,0.0018862462986865083
ач,0.001862519930149571
ус,0.0018577746564421836
тс,0.0018435388353200213
лу,0.0018245577404904715
ии,0.0018221851036367778
уг,0.001793713461392453
оз,0.0017628691822944348
ео,0.0017059258978057855
ио,0.0016893174398299295
ты,0.0016869448029762358
аи,0.0016774542555614608
иб,0.0016774542555614608
еи,0.0016632184344392985
сн,0.001641864702756055
ув,0.0016276288816338927
ще,0.001599157239389568
ия,0.0015967846025358742
ши,0.0015920393288284867
бу,0.0015849214182674057
ля,0.0015635676865841622
ун,0.0015635676865841622
жи,0.0015445865917546125
уп,0.0015445865917546125
гл,0.0015256054969250627
ир,0.001513742312656594
ку,0.0014900159441196567
ый,0.0014852706704122694
см,0.0014828980335585757
ыв,0.0014781527598511882
жа,0.0014662895755827197
ьв,0.001454426391314251
уч,0.001437817933338395
нь,0.0014330726596310074
ьи,0.0013856199225571332
гд,0.0013690114645812772
бр,0.0013571482803128084
ао,0.00134528509604434
вд,0.0013239313643610964
яп,0.001319186090653709
ым,0.001309695543238934
ьп,0.0013049502695315466
еш,0.0013025776326778529
оя,0.0012907144484093842
ош,0.0012859691747019969
ыт,0.0012622428061650596
га,0.0012574975324576721
дь,0.0012527522587502846
яд,0.0012361438007744286
еж,0.0012313985270670411
дв,0.0012290258902133476
аб,0.0012290258902133476
ах,0.0012266532533596539
кн,0.0012147900690911851
йс,0.0012100447953837976
аш,0.0012052995216764104
ял,0.0011792005162857794
ий,0.0011744552425783919
