Біграма,Частота з перетином
то,0.022072017917651825
не,0.015183696005485723
на,0.015064957424797663
но,0.01449055954071917
ст,0.014132859566396387
по,0.013622283669437728
ко,0.01291578911434377
ов,0.011712076752618556
го,0.01136476640410598
ни,0.011309849810537752
ра,0.010958086765249373
ро,0.010693893423218439
ал,0.010652334919977618
ка,0.010297603410172038
от,0.010217454868207597
пр,0.010020051977813697
ть,0.009916155719711644
он,0.00986866028743642
ен,0.009742500545455356
во,0.009276451616254717
те,0.008777749577364864
ер,0.008746580699934248
ол,0.00867236908700421
ет,0.008550662041798949
та,0.008526914325661336
ва,0.008518008932109732
ос,0.008512072003075329
ел,0.008326542970750235
ак,0.008302795254612623
ла,0.008133592777132137
ли,0.008034149215805886
ло,0.007971811460944654
ри,0.007836746325411986
да,0.007738786996344336
ом,0.007701681189879317
ре,0.007637859202759485
ве,0.007479046351089204
ор,0.0073395285187807325
од,0.007312812338125919
ил,0.007296485783281311
ас,0.007007060492854164
ль,0.006996670867043958
за,0.006735445989530226
же,0.006612254712066363
се,0.006578117370118546
ес,0.006515779615257314
ат,0.0065128111507401125
де,0.006361419460362836
ит,0.00633025058293222
ем,0.006316892492604813
чт,0.006254554737743581
ог,0.006162532337710335
ме,0.005873107047283187
че,0.005748431537560723
бы,0.005556965576201226
ле,0.005533217860063614
мо,0.005528765163287812
вс,0.005448616621323371
до,0.005435258530995964
ся,0.005364015382583128
ск,0.005233402943826262
об,0.005174033653482232
ам,0.005095369343776392
аз,0.005082011253448985
ег,0.004943977653399115
ти,0.004881639898537883
ан,0.0047287639759020055
ви,0.004721342814609002
сь,0.0046026042339209405
ин,0.004546203408094112
тр,0.004520971459697899
ма,0.004338410891890006
пе,0.004256778117666965
ой,0.004230061937012151
ну,0.004192956130547132
эт,0.004127649911168699
со,0.004081638711152076
ед,0.004043048672428456
вы,0.004037111743394053
сл,0.003998521704670434
ми,0.0039510262723952095
ав,0.0039332154852920005
ру,0.003808539975569537
ча,0.00377440263362172
ны,0.0037283914336050964
им,0.003723938736829294
ив,0.0036645694464852636
нн,0.0036348848013132485
ик,0.003493882736746177
ди,0.003476071949642968
оч,0.003403344568971531
хо,0.0033751441560581166
му,0.0032014889818018284
ше,0.0031896151237330223
бе,0.0031881308914744216
ей,0.0031821939624400186
ож,0.0031346985301647944
ьн,0.00312579313661319
тв,0.003124308904354589
ки,0.0029565906591327035
ду,0.002953622194615502
уд,0.0029521379623569013
ая,0.002922453317184886
бо,0.002894252904271472
ис,0.002864568259099457
ыл,0.002833399381668841
др,0.0027873881816522176
ад,0.0027591877687388033
дн,0.0027161450332393814
ня,0.002687944620325967
зн,0.0026597442074125528
уж,0.0026419334203093437
ее,0.0026137330073959294
ар,0.0025781114331895113
ид,0.002561784878344903
сп,0.0025543637170518992
ое,0.002543974091241694
са,0.0025335844654314887
их,0.002514289446069679
ие,0.002500931355742272
ят,0.00249647865896647
ту,0.0024564043879842495
аж,0.002428203975070835
из,0.002422267046036432
мн,0.002386645471830014
ум,0.002368834684726805
ут,0.0023584450589165997
ок,0.0023465712008477937
вн,0.002316886555675778
чи,0.0023139180911585767
ич,0.0022604857298489495
ул,0.0021996322072463186
лу,0.002198147974987718
кр,0.002184789884660311
уг,0.002166979097557102
лс,0.0021476840781952922
оп,0.002137294452385087
си,0.0021031571104372696
ты,0.0020868305555926613
ще,0.0020378508910588364
ши,0.002027461265248631
св,0.002017071639438426
еб,0.001993323923300814
ьк,0.001938407329732586
бу,0.0019220807748879776
гл,0.0019116911490777723
жи,0.001883490736164358
ля,0.0018641957168025482
ый,0.0018627114845439475
жа,0.0018256056780789284
еп,0.0018018579619413163
нь,0.0018003737296827156
ае,0.001779594478062305
ку,0.001779594478062305
ез,0.0017781102458037043
еч,0.001773657549027902
бр,0.001743972903855887
ек,0.0017335832780456817
см,0.0016638243618914462
гд,0.001659371665115644
тн,0.0016504662715640394
ия,0.0016445293425296364
ев,0.0016282027876850281
тс,0.0016178131618748229
дь,0.0015970339102544123
еш,0.0015272749941001769
ус,0.001519853832807173
га,0.0014916534198937586
ош,0.001488684955376557
ря,0.0014515791489115382
рь,0.0014367368263255307
ий,0.0014218945037395231
ещ,0.0014174418069637209
ач,0.0013788517682401013
ах,0.0013758833037228997
оз,0.001362525213395493
дв,0.0013461986585508847
ша,0.0013432301940336832
ай,0.0013328405682234779
аш,0.0013298721037062764
сн,0.0013224509424132726
ьс,0.0013090928520858658
ым,0.001301671690792862
зв,0.0013001874585342613
аю,0.001283860903689653
вд,0.0012705028133622462
чн,0.0012512077940004364
ир,0.0012348812391558281
ял,0.0012304285423800259
иц,0.0012215231488284213
ры,0.0012185546843112198
мы,0.0012096492907596153
би,0.0011918385036564063
уч,0.0011918385036564063
па,0.0011903542713978055
пи,0.001187385806880604
еж,0.0011859015746220032
ых,0.0011784804133289995
ап,0.0011532484649327864
ыв,0.0011473115358983834
пу,0.0011324692133123759
це,0.001113174193950566
ыт,0.0011116899616919653
лю,0.0011102057294333646
уб,0.0010864580132957525
ую,0.001083489548778551
ые,0.0010612260648995397
жн,0.0010612260648995397
жд,0.0010552891358651367
бл,0.0010508364390893344
су,0.0010404468132791291
зд,0.0010345098842447261
яс,0.0010122464003657148
чу,0.0010077937035899126
иб,0.0009884986842281028
ув,0.0009840459874523005
уп,0.0009781090584178975
аг,0.0009721721293834945
ук,0.0009647509680904907
рн,0.0009647509680904907
кт,0.0009617825035732892
ыс,0.0009543613422802854
рт,0.0009469401809872816
ои,0.0009380347874356771
иш,0.0009380347874356771
шь,0.0009365505551770764
пл,0.0009365505551770764
вш,0.0009335820906598749
сс,0.0009231924648496696
ба,0.0009217082325910688
оя,0.0009217082325910688
зу,0.0009172555358152665
бя,0.000914287071298065
ян,0.0009053816777464604
лы,0.0008994447487120574
ву,0.0008771812648330461
ою,0.0008667916390228408
пя,0.0008638231745056393
дл,0.0008608547099884378
уш,0.0008578862454712363
кн,0.0008519493164368333
ии,0.0008133592777132137
вз,0.0008103908131960122
иг,0.0007940642583514039
ун,0.0007940642583514039
щи,0.0007925800260928031
хи,0.0007881273293170009
шл,0.0007851588647997994
вл,0.0007821904002825979
ех,0.0007807061680239971
гр,0.0007703165422137918
чк,0.0007673480776965903
ца,0.0007658638454379896
кл,0.0007658638454379896
ги,0.0007643796131793888
вр,0.0007584426841449858
яд,0.0007495372905933812
аб,0.0007450845938175789
зо,0.0007361792002659744
йт,0.0007094630196111608
ох,0.000702041858318157
ыш,0.000678294142180545
ья,0.000678294142180545
шк,0.0006768099099219442
гу,0.0006738414454047427
йс,0.0006500937292671306
дя,0.0006426725679741269
ды,0.0006411883357155261
ур,0.0006367356389397239
зя,0.0006352514066811231
ье,0.0006144721550607126
ха,0.0006100194582849103
шн,0.0005966613679575035
тя,0.0005892402066644997
ух,0.0005833032776300966
вп,0.0005729136518198913
ке,0.0005654924905268876
нт,0.0005610397937510853
сч,0.0005536186324580815
рв,0.0005476817034236785
ща,0.000544713238906477
ют,0.0005283866840618687
зи,0.0005254182195446672
йн,0.0005239339872860665
зг,0.0005150285937344619
ьм,0.0005135443614758612
мя,0.0005105758969586597
тк,0.0005090916647000589
ец,0.0004942493421140514
тч,0.0004883124130796484
ям,0.0004883124130796484
хе,0.0004779227872694431
ью,0.0004779227872694431
лж,0.00046308046468343555
юб,0.0004571435356490325
рд,0.0004571435356490325
ию,0.0004526908388732302
ьш,0.00044230121306302494
фи,0.0004408169808044242
юд,0.0004333958195114204
рф,0.0004333958195114204
рм,0.0004274588904770174
нд,0.0004244904259598159
ущ,0.00041558503240821137
гн,0.00041558503240821137
йд,0.00041261656789100986
дт,0.0004111323356324091
дс,0.0004051954065980061
лк,0.00040074270982220383
дц,0.0003992584775636031
ьт,0.0003977742453050023
жу,0.00039332154852920006
