Біграма,Частота з перетином
то,0.018080679143573003
ов,0.012588024827272037
не,0.012234501936071673
на,0.012100447953837978
но,0.011899960139700858
ст,0.011629479538379773
по,0.01089040315845418
ко,0.010672120567914358
он,0.010376727279629488
от,0.009746792194973807
ен,0.009616297168020652
ни,0.00936005238782173
ос,0.009345816566699567
го,0.009228371042441728
ал,0.008832140687874877
ра,0.008778756358666769
ро,0.008599622276212892
ка,0.008287620529952168
пр,0.008008835699643155
ет,0.007940029230886037
ть,0.007925793409763876
во,0.007840378483030902
ак,0.007683784450687116
ер,0.007641076987320629
ес,0.0075058366866600865
ло,0.0074868555918305366
ас,0.0074821103181231495
ол,0.007356360564877382
те,0.007218747627363146
ом,0.007186717029838281
од,0.007144009566471794
ел,0.007064526231873054
ли,0.007032495634348189
та,0.007025377723787108
ва,0.006886578467846026
ла,0.00666948219573305
ор,0.006540173487206742
ри,0.006349176220484398
ат,0.006349176220484398
да,0.00620444537240908
ит,0.00616292422746944
ве,0.006149874724774125
ре,0.006114285171968719
ил,0.006090558803431782
ем,0.006072764027029079
ин,0.005763134917622048
ан,0.0057572033254878145
об,0.005650434667071597
ль,0.0055923050641561
за,0.005400121479006909
ог,0.005398935160580062
се,0.005326569736542404
же,0.005299284412724926
ав,0.005178279933186546
ив,0.005135572469820059
вс,0.005123709285551591
де,0.005111846101283122
мо,0.005073883911624022
чт,0.005027617492976995
ме,0.004843738136815732
ам,0.004842551818388885
ле,0.0048176391314251
че,0.004601729177738972
аз,0.004573257535494648
ис,0.004503264748310682
бы,0.004441576190114645
ти,0.004438017234834105
ск,0.00442496773213879
до,0.004395309771467618
ег,0.004368024447650141
ед,0.004346670715966897
ся,0.004319385392149419
оп,0.004252951560245995
ьн,0.004124829170146534
ви,0.004040600561840407
еп,0.0038911244400577027
ик,0.003843671702983828
ми,0.0038389264292764407
оч,0.0038306222002885124
тр,0.003785542100068332
ев,0.003739275681421304
сь,0.0036787734416521144
им,0.0036087806544681496
ма,0.0035826816490775186
ну,0.003530483638296257
со,0.003498453040771392
пе,0.003403547566623643
ой,0.0033810075165135525
нн,0.0033394863715739123
эт,0.0032991515450611192
сл,0.003290847316073191
вы,0.0032267861210234605
ад,0.0031698428365348114
тв,0.0031366259205830994
ид,0.0031306943284488647
ок,0.003086800546655531
ож,0.003078496317667603
ру,0.0030607015412649
ча,0.0030227393516058004
ны,0.0029800318882393134
хо,0.002892244324652646
му,0.002849536861286159
ди,0.0028447915875787714
ое,0.0028376736770176904
ап,0.0028008978057854376
ки,0.002783103029382735
ят,0.0027581903424189506
уд,0.002753445068711563
мн,0.002705992331637689
ая,0.0026846385999544455
еб,0.0026099005390630933
ар,0.0025932920810872373
бе,0.0025636341204160655
ше,0.0025505846177207503
ей,0.002543466707159669
из,0.002542280388732822
ее,0.0025149950649153443
вн,0.0024817781489636323
сп,0.0024675423278414698
ич,0.002456865461999848
ие,0.002449747551438767
бо,0.0024105990433528207
лс,0.0023868726748158832
ип,0.002380941082681649
ду,0.0023785684458279555
ьк,0.0023453515298762434
ои,0.0023323020271809277
ут,0.002329929390327234
дн,0.0023275567534735402
ыл,0.002313320932351378
оо,0.0023002714296560625
ум,0.002262309239996963
зн,0.002262309239996963
др,0.002261122921570116
уж,0.002245700782021107
ез,0.0022314649608989445
их,0.002229092324045251
ек,0.0022065522739351607
ня,0.0021970617265203857
ьс,0.002194689089666692
ян,0.0021721490395566014
ту,0.0021567269000075926
аж,0.002133000531470655
са,0.0020974109786652496
яс,0.002064194062713537
еч,0.0020547035152987626
ае,0.0020036918229443474
св,0.001975220180700023
тн,0.0019431895831751576
кр,0.001921835851491914
лу,0.00189692316452813
чи,0.001887432617113355
ус,0.0018755694328448866
си,0.001861333611722724
ач,0.0018601472932958773
тс,0.0018554020195884898
ул,0.001845911472173715
уг,0.0018435388353200213
оз,0.0018126945562220028
яв,0.0017948997798193
ии,0.0017616828638675878
ео,0.001701180624098398
аи,0.001684572166122542
ио,0.0016774542555614608
иб,0.0016703363450003795
ты,0.001667963708146686
ия,0.0016347467921949738
ля,0.00163237415534128
ще,0.0016311878369144332
еи,0.0016288152000607395
ши,0.001624069926353352
ув,0.001589666691974793
бу,0.0015861077366942525
жи,0.001582548781413712
сн,0.0015694992787183965
ир,0.001565940323437856
ку,0.0015588224128767747
ун,0.001557636094449928
гл,0.001539841318047225
см,0.0015173012679371347
уп,0.001497133854680738
ый,0.00148882962569281
жа,0.0014662895755827197
ыв,0.0014496811176068635
нь,0.001439004251765242
уч,0.0014330726596310074
ьв,0.0014307000227773137
ьи,0.0014283273859236202
бр,0.0013974831068256017
гд,0.0013832472857034394
ао,0.0013761293751423582
вд,0.001336980867056412
оя,0.0013263040012147901
еш,0.0013002049958241591
ым,0.0012990186773973124
яп,0.0012990186773973124
аб,0.0012824102194214562
