Літера,Частота
 ,0.16716560950066198
о,0.09554705870729346
е,0.07253146797873812
а,0.06634358883158456
н,0.054205939889738576
и,0.054007350761752324
т,0.0539273223071907
с,0.044082834390499336
в,0.03852826684055565
л,0.03827830142075207
р,0.034839053885826074
к,0.02750607623451301
д,0.026665283458810047
м,0.026184124725828442
у,0.024695200268737526
п,0.022854545813820223
ь,0.019142608730017587
я,0.017792993064200603
ч,0.015076965637164819
б,0.01448218625881795
г,0.014067223901831762
ы,0.013753038117256505
з,0.012823324836485071
ж,0.009501649969371827
й,0.0083397553698105
х,0.007085976248345091
ш,0.006854782935167072
ю,0.00467820657221333
э,0.002937340684095086
щ,0.002490762147528998
ц,0.002308969114944573
ф,0.0010364178868535973
ъ,0.00020155314482186258
ё,6.42203647716719e-05
