Літера,Частота
о,0.114725160004508
е,0.08708990503532259
а,0.07966000154221213
н,0.06508609695769
и,0.06484764723677108
т,0.06475155555819181
с,0.05293109277592251
в,0.0462616184923097
л,0.04596148028637693
р,0.04183191074150745
к,0.03302706582279983
д,0.032017510039207775
м,0.03143977365071268
у,0.02965199390233052
п,0.027441885295007386
ь,0.022984892252756704
я,0.02136438320412364
ч,0.018103197717526054
б,0.017389034871788788
г,0.016890781723599996
ы,0.016513532911399915
з,0.015397208596053123
ж,0.011408810776503806
й,0.010013701961575193
х,0.008508265663833347
ш,0.00823066748127102
ю,0.005617211087318864
э,0.0035269204989649386
щ,0.00299070520615224
ц,0.00277242287456477
ф,0.0012444465534524791
ъ,0.00024200867197741253
ё,7.711060626731281e-05
