,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
а,0,0.00034258307639602604,0.00856457690990065,0.0,0.0,0.0006851661527920521,0.0,0.0,0.0020554984583761563,0.0,0.011990407673860911,0.00034258307639602604,0.0006851661527920521,0.0006851661527920521,0.005481329222336417,0.0,0.0017129153819801302,0.0,0.0,0.0,0.0,0.0,0.0013703323055841042,0.0,0.00034258307639602604,0.00034258307639602604,0,0.00034258307639602604,0.0017129153819801302,0.0,0.0,0.0,0
б,0,0.0,0.002398081534772182,0.0,0.0006851661527920521,0.0,0.0006851661527920521,0.0,0.0017129153819801302,0.0,0.003083247687564234,0.00034258307639602604,0.0,0.0,0.00034258307639602604,0.0,0.00034258307639602604,0.00034258307639602604,0.0,0.009249743062692703,0.0,0.0,0.0006851661527920521,0.0020554984583761563,0.0,0.008907159986296678,0,0.00034258307639602604,0.0006851661527920521,0.0,0.0,0.0,0
в,0,0.0,0.013360739979445015,0.0,0.0041109969167523125,0.0,0.0,0.0,0.0034258307639602604,0.00034258307639602604,0.0,0.0,0.0,0.017471736896197326,0.0,0.00034258307639602604,0.0,0.0,0.0,0.00034258307639602604,0.0,0.0,0.0,0.0006851661527920521,0.0,0.0,0,0.0,0.0006851661527920521,0.0017129153819801302,0.0,0.0,0
г,0,0.0017129153819801302,0.0013703323055841042,0.0006851661527920521,0.0,0.0006851661527920521,0.0,0.0,0.0,0.0013703323055841042,0.00034258307639602604,0.0,0.0,0.0013703323055841042,0.0017129153819801302,0.0,0.0,0.0020554984583761563,0.0,0.0,0.0,0.0,0.0020554984583761563,0.0,0.0,0.0,0,0.0,0.00034258307639602604,0.0006851661527920521,0.0,0.0,0
д,0,0.0010277492291880781,0.00034258307639602604,0.0,0.0006851661527920521,0.00034258307639602604,0.00034258307639602604,0.00034258307639602604,0.0,0.0,0.01644398766700925,0.0,0.00034258307639602604,0.00034258307639602604,0.00034258307639602604,0.0,0.0,0.0,0.0013703323055841042,0.005823912298732443,0.0,0.0,0.0041109969167523125,0.00034258307639602604,0.0,0.0,0,0.0,0.0013703323055841042,0.0,0.0,0.0,0
е,0,0.00034258307639602604,0.00034258307639602604,0.0,0.0,0.0006851661527920521,0.00034258307639602604,0.0010277492291880781,0.0041109969167523125,0.0,0.0020554984583761563,0.0,0.0,0.0006851661527920521,0.0,0.0,0.0020554984583761563,0.0013703323055841042,0.0,0.006166495375128468,0.0,0.0,0.00034258307639602604,0.0,0.0,0.0,0,0.0,0.0,0.0010277492291880781,0.0,0.0,0
ж,0,0.0,0.006166495375128468,0.0,0.00034258307639602604,0.0,0.0,0.0,0.00034258307639602604,0.00034258307639602604,0.0006851661527920521,0.006851661527920521,0.0,0.0006851661527920521,0.0010277492291880781,0.0,0.0006851661527920521,0.005481329222336417,0.0,0.0,0.0,0.0,0.002398081534772182,0.0,0.0006851661527920521,0.0,0,0.0,0.0041109969167523125,0.0006851661527920521,0.0,0.002398081534772182,0
з,0,0.0006851661527920521,0.0006851661527920521,0.0,0.0,0.0,0.0,0.0006851661527920521,0.00034258307639602604,0.0020554984583761563,0.0013703323055841042,0.0,0.0,0.0013703323055841042,0.0,0.0,0.0,0.0,0.011305241521068859,0.0,0.0034258307639602604,0.0,0.0027406646111682084,0.0,0.0,0.0013703323055841042,0,0.0,0.0013703323055841042,0.0,0.0,0.0,0
и,0,0.005481329222336417,0.003083247687564234,0.0,0.0013703323055841042,0.0010277492291880781,0.0,0.0,0.0,0.00034258307639602604,0.0010277492291880781,0.0,0.0,0.0,0.0,0.0,0.00034258307639602604,0.006509078451524495,0.0,0.0,0.0,0.004796163069544364,0.0027406646111682084,0.0,0.0,0.0037684138403562863,0,0.0,0.0006851661527920521,0.0027406646111682084,0.004796163069544364,0.0013703323055841042,0
й,0,0.00034258307639602604,0.0,0.00034258307639602604,0.0034258307639602604,0.00034258307639602604,0.0,0.0,0.00034258307639602604,0.0013703323055841042,0.0020554984583761563,0.0,0.0,0.011305241521068859,0.0006851661527920521,0.0013703323055841042,0.0,0.002398081534772182,0.0,0.0006851661527920521,0.0,0.0,0.0,0.0,0.0,0.00034258307639602604,0,0.0010277492291880781,0.0037684138403562863,0.0,0.0,0.0006851661527920521,0
