Symbol,Count,Frequency
"

",1281,0.007661849849275085
Ве,33,0.00019737786496961578
че,541,0.003235800756017034
ра,1068,0.006387865448107565
на,1786,0.010682329298052538
ху,58,0.000346906550552658
то,2289,0.013690846451983348
ре,937,0.0056043351356524235
бл,144,0.0008612852289583234
из,378,0.002260873726015599
Ди,14,8.373606392650366e-05
ка,1565,0.009360495717498444
нь,244,0.0014593999712904924
ки,742,0.004438011388104694
По,132,0.0007895114598784631
ве,886,0.005299296617063017
ст,1638,0.009797119479400929
"и,",425,0.002541987654911718
да,750,0.004485860567491268
нн,373,0.0022309679888989904
ые,233,0.0013936073496339538
па,365,0.0021831188095124167
си,250,0.0014952868558304226
чн,102,0.0006100770371788124
ик,533,0.003187951576630461
ом,921,0.005508636776879276
Ру,8,4.784917938657352e-05
ды,121,0.0007237188382219245
мП,4,2.392458969328676e-05
ан,943,0.005640222020192353
ьк,381,0.0022788171682855637
"
Ч",27,0.00016149098042968563
ас,915,0.005472749892339346
ть,1086,0.0064955261017273554
пе,428,0.0025599310971816834
рв,38,0.00022728360208622422
ая,448,0.002679554045648117
"
П",50,0.0002990573711660845
ди,470,0.002811139288961194
сл,441,0.0026376860136848655
ов,1588,0.009498062108234845
ие,341,0.0020395712713526964
"
«",15,8.971721134982534e-05
Эт,40,0.0002392458969328676
оч,440,0.0026317048662615437
за,1118,0.0066869228192736494
не,1875,0.01121465141872817
ви,652,0.003899708120005742
ль,534,0.0031939327240537827
:„,1,5.98114742332169e-06
“?,1,5.98114742332169e-06
Чт,73,0.00043662376190248335
оэ,35,0.00020934015981625916
„В,1,5.98114742332169e-06
еч,241,0.0014414565290205273
ер,1139,0.006812526915163405
а“,1,5.98114742332169e-06
?И,6,3.588688453993014e-05
шв,5,2.990573711660845e-05
ыр,58,0.000346906550552658
ну,527,0.0031520646920905307
лв,101,0.0006040958897554907
св,422,0.002524044212641753
ет,1253,0.0074943777214220774
ко,1643,0.009827025216517536
й-,38,0.00022728360208622422
!С,21,0.0001256040958897555
ла,1008,0.0060289966027082635
ва,1107,0.006621130197617111
бо,386,0.0023087229054021725
гу,165,0.000986889324848079
!е,4,2.392458969328676e-05
ще,214,0.0012799655485908417
ма,481,0.002876931910617733
ло,1479,0.00884611703909278
об,708,0.004234652375711756
од,1056,0.006316091679027705
ли,1115,0.006668979377003685
се,695,0.0041568974592085745
йн,92,0.0005502655629455955
ап,397,0.002374515527058711
ья,124,0.0007416622804918896
ии,154,0.0009210967031915403
зв,135,0.0008074549021484281
ел,989,0.005915354801665151
ит,787,0.00470716302215417
ря,226,0.001351739317670702
пь,16,9.569835877314705e-05
ян,325,0.0019438729125795492
аб,252,0.0015072491506770659
ум,316,0.0018900425857696541
аг,157,0.0009390401454615053
у!,43,0.00025718933920283266
Ещ,13,7.775491650318197e-05
ем,783,0.004683238432460883
ал,1495,0.008941815397865926
он,1071,0.00640580889037753
ар,614,0.0036724245179195177
"у,",284,0.0016986458682233599
вс,588,0.003516914684913154
як,153,0.0009151155557682185
ог,996,0.005957222833628403
оз,412,0.0024642327384085364
ни,1018,0.00608880807694148
яи,78,0.0004665294990190918
сб,30,0.0001794344226996507
ро,1372,0.008206134264797358
ду,418,0.0025001196229484665
",в",294,0.001758457342456577
ым,229,0.001369682759940667
оп,558,0.003337480262213503
ьц,22,0.0001315852433130772
ыв,260,0.0015550983300636394
рн,167,0.0009988516196947222
ил,899,0.005377051533566199
ах,176,0.0010526819465046175
!Д,14,8.373606392650366e-05
же,591,0.0035348581271831187
ох,139,0.000831379491841715
от,1221,0.007302981003875783
аи,159,0.0009510024403081487
ащ,39,0.0002332647495095459
ьс,263,0.0015730417723336045
яв,214,0.0012799655485908417
ед,643,0.003845877793195847
др,213,0.00127398440116752
уг,223,0.001333795875400737
им,496,0.0029666491219675585
и!,54,0.00032298196085937125
Пр,81,0.0004844729412890569
ав,711,0.004252595817981722
"о,",425,0.002541987654911718
ча,342,0.002045552418776018
тн,222,0.0013278147279774152
ой,501,0.002996554859084167
бу,279,0.0016687401311067515
ги,112,0.0006698885114120293
ос,1191,0.007123546581176133
",ч",419,0.0025061007703717883
пр,982,0.005873486769701899
ид,461,0.002757308962151299
ае,273,0.0016328532465668213
шь,147,0.0008792286712282885
ск,583,0.0034870089477965454
ор,1137,0.006800564620316762
чт,554,0.0033135556725202163
ыт,128,0.0007655868701851764
ак,1216,0.007273075266759175
ое,411,0.0024582515909852146
ут,341,0.0020395712713526964
ьв,152,0.0009091344083448969
е»,5,2.990573711660845e-05
".
",568,0.0033972917364467198
"
С",30,0.0001794344226996507
лы,163,0.0009749270300014355
ша,220,0.0013158524331307719
",с",294,0.001758457342456577
еэ,14,8.373606392650366e-05
ти,523,0.003128140102397244
чи,317,0.0018960237331929757
ещ,158,0.0009450212928848271
ез,318,0.0019020048806162974
ам,719,0.004300444997368295
ес,1013,0.006058902339824872
яц,26,0.00015550983300636394
!Т,14,8.373606392650366e-05
"ь,",385,0.0023027417579788508
яг,62,0.0003708311402459448
"ю,",125,0.0007476434279152113
аш,212,0.0012680032537441984
уб,239,0.001429494234173884
ту,334,0.0019977032393894444
",х",45,0.00026915163404947603
ин,812,0.004856691707737212
вы,458,0.002739365519881334
су,119,0.0007117565433752811
но,1397,0.008355662950380401
зс,18,0.00010766065361979042
во,1154,0.0069022441265132305
ег,623,0.0037262548447294127
ол,1257,0.0075183023111153645
ус,302,0.0018063065218431504
шо,51,0.0003050385185894062
йс,154,0.0009210967031915403
т–,8,4.784917938657352e-05
ба,241,0.0014414565290205273
тю,6,3.588688453993014e-05
шк,210,0.0012560409588975548
ои,292,0.0017464950476099334
!Э,12,7.177376907986028e-05
"к,",156,0.0009330589980381836
уч,176,0.0010526819465046175
тс,364,0.0021771376620890954
"я,",279,0.0016687401311067515
йд,94,0.0005622278577922388
еш,231,0.0013816450547873105
по,1553,0.009288721948418585
ив,723,0.004324369587061582
а:,30,0.0001794344226996507
ео,128,0.0007655868701851764
бс,16,9.569835877314705e-05
пя,57,0.00034092540312933634
тт,64,0.0003827934350925882
еб,466,0.0027872146992679076
.Е,33,0.00019737786496961578
бы,591,0.0035348581271831187
го,1681,0.01005430881860376
",п",395,0.0023625532322120676
уж,266,0.0015909852146035696
ев,591,0.0035348581271831187
ыс,147,0.0008792286712282885
ше,383,0.0022907794631322072
ей,257,0.0015371548877936743
",н",364,0.0021771376620890954
",к",564,0.003373367146753433
-н,51,0.0003050385185894062
иб,206,0.0012321163692042682
уд,488,0.0029187999425809848
ьо,80,0.0004784917938657352
ны,481,0.002876931910617733
йм,65,0.00038877458251590985
ьч,28,0.00016747212785300731
иш,120,0.0007177376907986028
мо,616,0.0036843868127661612
тр,400,0.002392458969328676
ь–,16,9.569835877314705e-05
ры,264,0.0015790229197569262
йк,97,0.0005801713000622039
аз,674,0.0040312933633188195
ад,462,0.002763290109574621
мд,60,0.0003588688453993014
",и",316,0.0018900425857696541
тп,106,0.0006340016268720992
ри,927,0.005544523661419207
;и,25,0.00014952868558304225
со,375,0.002242930283745634
ех,195,0.0011663237475477296
ат,1009,0.006034977750131585
ьн,267,0.0015969663620268913
и.,167,0.0009988516196947222
«К,8,4.784917938657352e-05
"а,",451,0.0026974974879180823
ку,546,0.0032657064931336426
",з",103,0.0006160581846021341
ач,222,0.0013278147279774152
?п,4,2.392458969328676e-05
ош,178,0.0010646442413512608
",м",122,0.0007296999856452462
!.,45,0.00026915163404947603
.»,3,1.794344226996507e-05
Яв,8,4.784917938657352e-05
аж,189,0.0011304368630077994
у…,7,4.186803196325183e-05
Да,88,0.0005263409732523087
ь!,68,0.00040671802478587494
Мн,21,0.0001256040958897555
дв,152,0.0009091344083448969
дс,60,0.0003588688453993014
ъе,15,8.971721134982534e-05
зд,125,0.0007476434279152113
Ми,4,2.392458969328676e-05
рг,13,7.775491650318197e-05
мв,78,0.0004665294990190918
еп,455,0.002721422077611369
ят,342,0.002045552418776018
ьл,38,0.00022728360208622422
кн,197,0.001178286042394373
ме,690,0.004126991722091966
ня,272,0.0016268720991434997
ок,554,0.0033135556725202163
зе,111,0.0006639073639887076
мс,135,0.0008074549021484281
ип,332,0.001985740944542801
те,895,0.005353126943872913
ый,347,0.0020754581558926266
"й,",172,0.0010287573568113306
мп,93,0.0005562467103689172
эт,235,0.001405569644480597
т.,56,0.00033494425570601463
Ап,5,2.990573711660845e-05
ся,837,0.005006220393320254
–п,87,0.0005203598258289871
чь,68,0.00040671802478587494
пл,125,0.0007476434279152113
йо,29,0.000173453275276329
тв,334,0.0019977032393894444
"
У",9,5.383032680989521e-05
"с,",32,0.0001913967175462941
юб,62,0.0003708311402459448
гн,76,0.00045456720417244844
дь,170,0.0010167950619646873
о(,1,5.98114742332169e-06
ож,393,0.002350590937365424
сс,177,0.001058663093927939
сь,603,0.003606631896262979
дт,91,0.0005442844155222738
у-,6,3.588688453993014e-05
уи,79,0.00047251064644241353
му,422,0.002524044212641753
"),",8,4.784917938657352e-05
–у,7,4.186803196325183e-05
"х,",90,0.0005383032680989521
:к,11,6.57926216565386e-05
яр,66,0.00039475572993923156
ле,735,0.004396143356141442
тд,61,0.0003648499928226231
ых,132,0.0007895114598784631
сю,27,0.00016149098042968563
зи,52,0.0003110196660127279
бр,223,0.001333795875400737
их,315,0.0018840614383463323
пч,14,8.373606392650366e-05
вт,68,0.00040671802478587494
йп,75,0.0004485860567491268
"б,",14,8.373606392650366e-05
гд,225,0.0013457581702473803
иж,87,0.0005203598258289871
ур,142,0.0008493229341116799
"е,",404,0.0024163835590219626
гр,149,0.0008911909660749318
уш,240,0.0014354753815972055
де,806,0.004820804823197282
ув,190,0.0011364180104311212
ее,297,0.001776400784726542
",–",216,0.001291927843437485
"р,",26,0.00015550983300636394
ен,1039,0.006214412172831236
е-,27,0.00016149098042968563
вк,134,0.0008014737547251064
це,185,0.0011065122733145125
ул,294,0.001758457342456577
иц,212,0.0012680032537441984
ыб,55,0.00032896310828269297
зж,25,0.00014952868558304225
ек,261,0.0015610794774869612
хи,85,0.0005083975309823437
сн,280,0.0016747212785300732
ис,740,0.00442604909325805
тб,45,0.00026915163404947603
ай,149,0.0008911909660749318
",а",80,0.0004784917938657352
дч,7,4.186803196325183e-05
кр,423,0.002530025360065075
",г",85,0.0005083975309823437
",ш",10,5.98114742332169e-05
…Э,2,1.196229484664338e-05
ун,169,0.0010108139145413655
ы!,22,0.0001315852433130772
Он,41,0.0002452270443561893
",о",174,0.0010407196516579742
хо,411,0.0024582515909852146
жи,224,0.0013397770228240585
ши,434,0.0025958179817216136
;т,20,0.0001196229484664338
ьз,64,0.0003827934350925882
яс,250,0.0014952868558304226
м.,106,0.0006340016268720992
На,56,0.00033494425570601463
дл,80,0.0004784917938657352
ып,116,0.000693813101105316
га,183,0.0010945499784678692
ми,629,0.003762141729269343
ру,542,0.003241781903440356
;а,47,0.0002811139288961194
бе,427,0.0025539499497583616
ха,181,0.001082587683621226
лп,116,0.000693813101105316
яб,56,0.00033494425570601463
:в,21,0.0001256040958897555
",л",35,0.00020934015981625916
ью,60,0.0003588688453993014
яп,109,0.0006519450691420642
жд,93,0.0005562467103689172
гл,243,0.0014534188238671706
;н,71,0.00042466146705583997
бк,42,0.000251208191779511
чо,13,7.775491650318197e-05
м–,4,2.392458969328676e-05
цы,82,0.0004904540887123786
та,1074,0.006423752332647495
ир,183,0.0010945499784678692
я.,82,0.0004904540887123786
Но,73,0.00043662376190248335
лу,299,0.0017883630795731853
чш,31,0.0001854155701229724
бь,14,8.373606392650366e-05
ют,119,0.0007117565433752811
ую,189,0.0011304368630077994
чк,112,0.0006698885114120293
пу,132,0.0007895114598784631
дк,81,0.0004844729412890569
вн,223,0.001333795875400737
ю.,65,0.00038877458251590985
Бо,40,0.0002392458969328676
ты,298,0.0017823819321498636
й!,39,0.0002332647495095459
Че,32,0.0001913967175462941
жу,59,0.0003528876979759797
т!,48,0.0002870950763194411
От,20,0.0001196229484664338
ын,140,0.0008373606392650366
ык,60,0.0003588688453993014
аю,126,0.0007536245753385329
Ка,119,0.0007117565433752811
хс,56,0.00033494425570601463
зы,99,0.0005921335949088473
"н,",105,0.0006280204794487774
уп,212,0.0012680032537441984
ич,319,0.0019079860280396192
до,619,0.003702330255036126
Па,29,0.000173453275276329
.З,24,0.00014354753815972056
–е,8,4.784917938657352e-05
еу,99,0.0005921335949088473
юс,69,0.0004126991722091966
.И,61,0.0003648499928226231
сы,92,0.0005502655629455955
",у",90,0.0005383032680989521
рь,171,0.001022776209388009
е.,161,0.0009629647351547921
еи,151,0.0009031532609215752
ьт,97,0.0005801713000622039
",т",168,0.001004832767118044
ыч,34,0.00020335901239293747
тк,145,0.000867266376381645
юд,87,0.0005203598258289871
о.,151,0.0009031532609215752
Бы,13,7.775491650318197e-05
дн,443,0.0026496483085315086
яд,219,0.00130987128570745
вп,82,0.0004904540887123786
ву,143,0.0008553040815350017
чу,147,0.0008792286712282885
жк,31,0.0001854155701229724
ыл,330,0.001973778649696158
нс,68,0.00040671802478587494
сд,68,0.00040671802478587494
.В,140,0.0008373606392650366
зн,337,0.0020156466816594098
йц,13,7.775491650318197e-05
кв,116,0.000693813101105316
Фо,10,5.98114742332169e-05
Гр,46,0.00027513278147279775
иг,176,0.0010526819465046175
ье,167,0.0009988516196947222
?Э,2,1.196229484664338e-05
!Ч,17,0.00010167950619646873
иу,75,0.0004485860567491268
хн,68,0.00040671802478587494
вэ,17,0.00010167950619646873
хд,26,0.00015550983300636394
яч,58,0.000346906550552658
х;,6,3.588688453993014e-05
вб,40,0.0002392458969328676
нв,34,0.00020335901239293747
зт,23,0.00013756639073639887
цв,22,0.0001315852433130772
уз,143,0.0008553040815350017
фе,4,2.392458969328676e-05
ля,351,0.0020993827455859132
вП,8,4.784917938657352e-05
йз,33,0.00019737786496961578
аа,5,2.990573711660845e-05
рш,40,0.0002392458969328676
.О,58,0.000346906550552658
кт,91,0.0005442844155222738
ац,47,0.0002811139288961194
ыш,118,0.0007057753959519594
лз,17,0.00010167950619646873
гт,13,7.775491650318197e-05
я;,11,6.57926216565386e-05
оо,179,0.0010706253887745826
нч,20,0.0001196229484664338
см,176,0.0010526819465046175
ср,33,0.00019737786496961578
юи,43,0.00025718933920283266
лб,49,0.0002930762237427628
шу,70,0.0004186803196325183
.Н,138,0.0008253983444183932
кж,20,0.0001196229484664338
ыо,22,0.0001315852433130772
нк,73,0.00043662376190248335
-л,3,1.794344226996507e-05
оу,104,0.0006220393320254558
лн,110,0.0006579262165653859
ия,94,0.0005622278577922388
зу,70,0.0004186803196325183
мк,54,0.00032298196085937125
ям,113,0.000675869658835351
кл,159,0.0009510024403081487
ию,16,9.569835877314705e-05
ца,182,0.0010885688310445477
ух,125,0.0007476434279152113
у.,133,0.0007954926073017848
Ао,2,1.196229484664338e-05
зг,69,0.0004126991722091966
й…,2,1.196229484664338e-05
Ну,40,0.0002392458969328676
йч,41,0.0002452270443561893
вз,93,0.0005562467103689172
.[,8,4.784917938657352e-05
1],5,2.990573711660845e-05
юп,43,0.00025718933920283266
ец,222,0.0013278147279774152
–в,39,0.0002332647495095459
х!,12,7.177376907986028e-05
Ин,8,4.784917938657352e-05
",д",147,0.0008792286712282885
Ни,15,8.971721134982534e-05
ьу,26,0.00015550983300636394
ь.,126,0.0007536245753385329
чр,5,2.990573711660845e-05
тэ,9,5.383032680989521e-05
зк,38,0.00022728360208622422
у:,13,7.775491650318197e-05
вш,278,0.00166275898368343
ий,190,0.0011364180104311212
ук,266,0.0015909852146035696
о-,88,0.0005263409732523087
тц,37,0.00022130245466290253
мл,95,0.0005682090052155606
ьщ,5,2.990573711660845e-05
лд,77,0.00046054835159577015
яз,81,0.0004844729412890569
.Л,12,7.177376907986028e-05
ау,95,0.0005682090052155606
–л,8,4.784917938657352e-05
",б",146,0.0008732475238049667
а–,13,7.775491650318197e-05
с.,11,6.57926216565386e-05
Во,75,0.0004485860567491268
"т,",193,0.0011543614527010863
ьр,31,0.0001854155701229724
цо,43,0.00025718933920283266
?»,8,4.784917938657352e-05
пи,165,0.000986889324848079
"л,",111,0.0006639073639887076
ою,300,0.0017943442269965071
бц,3,1.794344226996507e-05
ы.,68,0.00040671802478587494
То,46,0.00027513278147279775
сп,249,0.0014893057084071008
