Symbol,Count,Frequency
"

",2643,0.006643557910559562
"
В",76,0.00019103685251703622
Ве,52,0.0001307094254063932
еч,396,0.0009954025473256098
че,1145,0.002878121001736927
ер,2127,0.005346518227680737
ра,2118,0.005323895442514246
а ,4866,0.01223138584668287
 н,5641,0.014179459013797385
на,3626,0.00911446877929965
 х,796,0.002000859665836327
ху,103,0.0002589052080165096
ут,574,0.0014428309650628788
то,4455,0.011198278657413109
ор,2245,0.005643128077641398
ре,1854,0.004660293744297173
е ,5282,0.013277061249934018
 б,2426,0.006098097423767498
бл,290,0.0007289564109202697
ли,2152,0.005409359297587657
из,569,0.0014302627510814948
з ,520,0.001307094254063932
 Д,317,0.0007968247664197431
Ди,29,7.289564109202697e-05
ик,728,0.0018299319556895049
ка,3126,0.007857647381161252
ан,1389,0.0034914498440284645
нь,489,0.0012291713273793515
ьк,614,0.0015433766769139504
ки,1307,0.0032853311347337674
"и
",13,3.26773563515983e-05
"
П",100,0.0002513642796276792
По,247,0.0006208697706803677
ов,2454,0.006168479422063248
ве,1702,0.004278220039263101
ес,1456,0.0036598639113790098
ст,3162,0.007948138521827217
ти,990,0.0024885063683140244
"и,",847,0.002129055448446443
", ",8704,0.0218787468987932
 и,3416,0.008586603792081522
зд,253,0.0006359516274580284
да,1507,0.003788059693989126
нн,646,0.0016238132463948078
ны,954,0.00239801522764806
ые,420,0.0010557299744362529
 п,5455,0.013711921453689902
па,757,0.0019028275967815317
ас,1269,0.0031898127084752496
си,486,0.001221630398990521
ич,541,0.0013598807527857447
чн,184,0.0004625102745149298
ни,2035,0.005115263090423272
ко,3233,0.00812660716036287
ом,1626,0.004087183186746064
м ,1768,0.004444120463817368
 Р,70,0.00017595499573937545
Ру,15,3.7704641944151885e-05
уд,880,0.0022120056607235774
ды,266,0.0006686289838096268
ым,400,0.0010054571185107168
 П,502,0.0012618486837309498
Па,68,0.00017092771014682188
"м
",3,7.540928388830377e-06
"
Ч",37,9.300478346224131e-05
Ча,7,1.7595499573937546e-05
ть,2193,0.005512418652235005
ь ,2803,0.007045740757963849
пе,826,0.0020762689497246306
рв,77,0.000193550495313313
ва,2166,0.005444550296735532
ая,833,0.002093864449298568
"я
",5,1.2568213981383962e-05
Пр,153,0.0003845873478303492
ед,1042,0.0026192157937204178
ди,870,0.0021868692327608095
ис,943,0.002370365156889015
сл,868,0.0021818419471682556
ло,2614,0.006570662269467535
ви,1271,0.003194839994067803
ие,500,0.0012568213981383961
"е
",3,7.540928388830377e-06
"
«",32,8.043656948085736e-05
«Э,13,3.26773563515983e-05
Эт,72,0.00018098228133192905
о ,6281,0.01578819040341453
 ч,1943,0.004884007953165808
чт,1090,0.0027398706479417035
 з,1871,0.004703025671833878
за,2163,0.005437009368346702
не,3608,0.009069223208966666
ев,714,0.0017947409565416297
ид,618,0.0015534312480990577
ал,2898,0.007284536823610144
ль,1073,0.002697138720404998
ь:,38,9.551842625851811e-05
: ,397,0.0009979161901218865
 „,2,5.027285592553585e-06
„В,2,5.027285592553585e-06
и“,1,2.5136427962767923e-06
“?,2,5.027285592553585e-06
? ,357,0.0008973704782708149
 Ч,293,0.0007364973393091002
Чт,145,0.00036447820546013486
 э,478,0.0012015212566203067
эт,469,0.0011788984714538155
а“,1,2.5136427962767923e-06
 И,307,0.0007716883384569752
И ,113,0.00028404163597927756
 ш,417,0.0010481890460474223
шв,10,2.5136427962767923e-05
вы,911,0.002289928587408158
ыр,91,0.0002287414944611881
рн,293,0.0007364973393091002
ну,1026,0.0025789975089799888
ул,625,0.0015710267476729952
л ,1987,0.004994608236201986
 в,5054,0.012703950692382908
в ,1660,0.004172647041819475
 с,5767,0.014496178006128261
св,788,0.0019807505234661123
ет,2153,0.005411872940383934
т ,1922,0.004831221454443995
 к,3706,0.009315560203001793
ак,2197,0.005522473223420112
ой,988,0.002483479082721471
й-,60,0.00015081856777660754
-т,228,0.0005731105575511086
к!,70,0.00017595499573937545
! ,1222,0.00307167149705024
 С,375,0.0009426160486037971
Сл,56,0.00014076399659150037
ла,2016,0.005067503877294014
ав,1020,0.002563915652202328
бо,741,0.0018626093120411031
ог,1836,0.00461504817396419
гу,301,0.0007566064816793144
у!,90,0.0002262278516649113
 е,1322,0.0033230357766779193
ещ,304,0.0007641474100681449
ще,427,0.0010733254740101902
 м,2029,0.005100181233645611
ма,956,0.0024030425132406134
 о,2953,0.0074227871774053674
об,1096,0.002754952504719364
од,1836,0.00461504817396419
др,401,0.0010079707613069938
и ,5443,0.01368175774013458
 г,1732,0.004353629323151404
ус,447,0.001123598329935726
се,1366,0.003433636059714098
ей,550,0.0013825035379522357
й ,1850,0.004650239173112066
рь,308,0.000774201981253252
ья,217,0.0005454604867920639
я ,2841,0.007141259184222367
зв,242,0.0006083015566989837
ел,1885,0.004738216670981754
 т,3007,0.007558523888404315
тр,792,0.0019908050946512196
ря,428,0.0010758391168064672
яп,5,1.2568213981383962e-05
пь,36,9.049114066596452e-05
бу,571,0.0014352900366740484
ум,567,0.0014252354654889412
аг,188,0.00047256484570003693
 Е,98,0.00024633699403512564
Ещ,27,6.786835549947339e-05
ар,1075,0.0027021660059975516
ро,2768,0.006957763260094161
ду,836,0.0021014053776873985
"у,",604,0.0015182402489511825
вс,978,0.002458342654758703
ся,1664,0.0041827016130045825
як,148,0.00037201913384896524
го,3301,0.008297534870509691
ия,154,0.000387100990626626
сб,24,6.0327427110643016e-05
бр,474,0.0011914666854351995
ьц,42,0.00010557299744362528
цы,160,0.0004021828474042868
ы ,1139,0.0028630391449592663
ил,1673,0.004205324398171073
ах,333,0.0008370430511601718
х!,25,6.28410699069198e-05
Де,47,0.00011814121142500923
 ж,786,0.001975723237873559
же,1150,0.002890689215718311
ох,191,0.0004801057740888673
хо,788,0.0019807505234661123
от,2129,0.005351545513273291
та,2069,0.005200726945496683
по,3043,0.007649015029070279
ащ,62,0.0001558458533691611
щи,172,0.00043234656095960826
ит,1305,0.003280303849141214
ьс,326,0.0008194475515862343
ле,1377,0.003461286130473143
д ,498,0.0012517941125458425
 д,2717,0.006829567477484044
ру,1072,0.0026946250776087215
уг,433,0.001088407330787851
ги,204,0.0005127831304404657
им,814,0.002046105236169309
ми,1079,0.002712220577182659
и!,126,0.00031671899233087585
во,2260,0.00568083271958555
"о,",849,0.0021340827340389965
ча,685,0.0017218453154496027
ат,1741,0.004376252108317895
тн,264,0.0006636016982170731
но,2754,0.006922572260946286
 р,1338,0.0033632540614183483
аз,1227,0.003084239711031624
ос,1761,0.004426524964243431
сь,1175,0.002953530285625231
ол,2449,0.006155911208081864
пр,1926,0.0048412760256291015
ри,1852,0.004655266458704619
ае,452,0.0011361665439171102
еш,451,0.0011336529011208333
шь,286,0.0007189018397351626
ск,1146,0.002880634644533204
бы,1210,0.003041507783494919
ое,680,0.0017092771014682187
ее,505,0.00126938961211978
е»,5,1.2568213981383962e-05
».,43,0.00010808664023990206
".
",1059,0.002661947721257123
"
С",62,0.0001558458533691611
лы,315,0.0007917974808271896
ыш,252,0.0006334379846617517
ша,446,0.0011210846871394493
