Symbol,Count,Frequency
"
",4377,0.011002186863735766
В,574,0.0014428273383103336
е,25693,0.06458286202649373
ч,4692,0.011793982354271926
р,12791,0.03215192418872383
а,25897,0.06509564386798382
 ,63445,0.15947766633989394
н,17576,0.04417967473543976
х,2944,0.007400145790915718
у,10333,0.025973405726063898
т,18162,0.045652665711484804
о,33618,0.08450343111379233
б,5482,0.013779755171807054
л,14706,0.036965538043888094
и,19306,0.0485282658421939
з,5316,0.013362491516476888
Д,376,0.0009451273156876052
к,12532,0.03150089234094965
ь,6305,0.015848477993112637
П,627,0.0015760500716386395
в,13389,0.03365507880250358
с,15296,0.038448583565844706
",",8746,0.02198426463564839
д,9757,0.02452555111479778
ы,5817,0.014621823391901063
п,7928,0.019928109996732273
м,9079,0.022821305582786618
Р,77,0.00019355000879772767
Ч,341,0.0008571500389613654
я,6513,0.01637131438051429
«,207,0.0005203227509237614
Э,133,0.00033431365155971144
:,440,0.0011060000502727296
„,2,5.027272955785135e-06
“,2,5.027272955785135e-06
?,506,0.001271900057813639
э,483,0.0012140864188221099
И,350,0.0008797727672623985
ш,3434,0.008631827665083075
й,2978,0.007485609431164065
-,493,0.0012392227836010355
!,1631,0.0040997410954427774
С,452,0.0011361636880074404
г,5950,0.014956137043460774
щ,760,0.001910363723198351
Е,106,0.00026644546665661214
ц,1618,0.004067063821230173
ж,2959,0.007437850338084106
»,207,0.0005203227509237614
.,3652,0.009179800417263656
Т,378,0.0009501545886433904
ю,2225,0.005592841163310962
–,2184,0.005489782067717367
;,720,0.0018098182640826485
К,497,0.0012492773295126058
Я,129,0.00032425910564814114
…,283,0.0007113591232435965
М,164,0.00041223638237438103
ъ,55,0.0001382500062840912
А,191,0.00048010456727748033
У,93,0.00023376819244400876
(,48,0.00012065455093884323
),48,0.00012065455093884323
О,300,0.0007540909433677702
Н,591,0.0014855591584345073
Б,215,0.000540431842746902
З,134,0.000336827288037604
Ф,121,0.00030415001382500065
Г,300,0.0007540909433677702
ф,93,0.00023376819244400876
[,59,0.00014830455219566146
1,43,0.0001080863685493804
],59,0.00014830455219566146
Л,86,0.0002161727370987608
ё,9,2.2622728301033103e-05
́,127,0.00031923183269235605
Ж,29,7.289545785888445e-05
Х,79,0.00019857728175351282
Ц,9,2.2622728301033103e-05
Ш,27,6.786818490309931e-05
Ю,1,2.5136364778925674e-06
I,62,0.00015584546162933916
M,1,2.5136364778925674e-06
e,3,7.540909433677702e-06
i,76,0.0001910363723198351
2,35,8.797727672623985e-05
Щ,10,2.513636477892567e-05
y,1,2.5136364778925674e-06
c,5,1.2568182389462835e-05
є,9,2.2622728301033103e-05
3,33,8.295000377045472e-05
4,33,8.295000377045472e-05
5,36,9.049091320413241e-05
V,18,4.5245456602066206e-05
6,20,5.027272955785134e-05
7,16,4.021818364628108e-05
8,15,3.770454716838851e-05
9,12,3.0163637734710807e-05
x,2,5.027272955785135e-06
0,11,2.765000125681824e-05
X,11,2.765000125681824e-05
—,1,2.5136364778925674e-06
p,1,2.5136364778925674e-06
o,2,5.027272955785135e-06
*,54,0.00013573636980619862
O,1,2.5136364778925674e-06
’,1,2.5136364778925674e-06
u,1,2.5136364778925674e-06
s,2,5.027272955785135e-06
t,2,5.027272955785135e-06
n,1,2.5136364778925674e-06
