Symbol,Count,Frequency
"
",4377,0.013089701990220854
В,574,0.0017165841769218118
е,25693,0.0768365805882441
ч,4692,0.014031729892190141
р,12791,0.03825231394948936
а,25897,0.077446655800948
н,17576,0.052562166365118054
х,2944,0.008804222677452636
у,10333,0.030901505749360767
т,18162,0.054314637319257744
о,33618,0.10053680637588408
б,5482,0.01639427605903375
л,14706,0.043979245480508994
и,19306,0.05773584341402874
з,5316,0.015897842307519776
Д,376,0.0011244523528268313
к,12532,0.03747775767453684
ь,6305,0.01885551086322652
П,627,0.0018750841096341045
в,13389,0.04004067168084693
с,15296,0.04574367869372131
",",8746,0.026155479462296453
д,9757,0.029178940442902642
ы,5817,0.017396115256366165
п,7928,0.023709197481944465
м,9079,0.027151337530092558
Р,77,0.00023027348714804792
Ч,341,0.001019782585941355
я,6513,0.019477548335003064
«,207,0.0006190469070083886
Э,133,0.00039774511416481
:,440,0.0013158484979888451
„,2,5.981129536312933e-06
“,2,5.981129536312933e-06
?,506,0.001513225772687172
э,483,0.0014444427830195732
И,350,0.0010466976688547633
ш,3434,0.010269599413849306
й,2978,0.008905901879569958
-,493,0.0014743484307011378
!,1631,0.004877611136863197
С,452,0.0013517352752067228
г,5950,0.017793860370530976
щ,760,0.0022728292237989144
Е,106,0.00031699986542458545
ц,1618,0.004838733794877163
ж,2959,0.008849081148974983
»,207,0.0006190469070083886
.,3652,0.010921542533307415
Т,378,0.0011304334823631444
ю,2225,0.006654006609148138
–,2184,0.006531393453653722
;,720,0.002153206633072656
К,497,0.0014863106897737637
Я,129,0.00038578285509218417
…,283,0.00084632982938828
М,164,0.0004904526219776605
ъ,55,0.00016448106224860564
А,191,0.0005711978707178851
У,93,0.00027812252343855135
(,48,0.00014354710887151039
),48,0.00014354710887151039
О,300,0.0008971694304469399
Н,591,0.0017674237779804717
Б,215,0.0006429714251536403
З,134,0.0004007356789329665
Ф,121,0.00036185833694693244
Г,300,0.0008971694304469399
ф,93,0.00027812252343855135
[,59,0.0001764433213212315
1,43,0.00012859428503072805
],59,0.0001764433213212315
Л,86,0.0002571885700614561
ё,9,2.6915082913408197e-05
́,127,0.0003798017255558712
Ж,29,8.672637827653752e-05
Х,79,0.00023625461668436084
Ц,9,2.6915082913408197e-05
Ш,27,8.074524874022458e-05
Ю,1,2.9905647681564664e-06
I,62,0.0001854150156257009
M,1,2.9905647681564664e-06
e,3,8.971694304469399e-06
i,76,0.00022728292237989144
2,35,0.00010466976688547632
Щ,10,2.9905647681564664e-05
y,1,2.9905647681564664e-06
c,5,1.4952823840782332e-05
є,9,2.6915082913408197e-05
3,33,9.868863734916338e-05
4,33,9.868863734916338e-05
5,36,0.00010766033165363279
V,18,5.3830165826816394e-05
6,20,5.981129536312933e-05
7,16,4.784903629050346e-05
8,15,4.4858471522346995e-05
9,12,3.5886777217877596e-05
x,2,5.981129536312933e-06
0,11,3.289621244972113e-05
X,11,3.289621244972113e-05
—,1,2.9905647681564664e-06
p,1,2.9905647681564664e-06
o,2,5.981129536312933e-06
*,54,0.00016149049748044917
O,1,2.9905647681564664e-06
’,1,2.9905647681564664e-06
u,1,2.9905647681564664e-06
s,2,5.981129536312933e-06
t,2,5.981129536312933e-06
n,1,2.9905647681564664e-06
